game_id,date,win_percentage,home_team,away_team,home_team_recent_10,away_team_recent_10,result
0,13-11-26,1.85 (45.9%) 3.30 (25.8%) 3.00 (28.3%),포항스틸,FC서울,5승4무1패,3승4무3패,1
1,13-11-26,3.60 (23.6%) 3.30 (25.8%) 1.68 (50.6%),부산아이,울산현대,2승2무6패,8승1무1패,1
3,13-11-26,2.50 (34%) 3.10 (27.4%) 2.20 (38.6%),수원삼성,전북현대,2승3무5패,4승2무4패,1
5,13-11-26,2.11 (40.3%) 2.90 (29.3%) 2.80 (30.4%),전남드래,성남FC,3승2무5패,4승2무4패,0
6,13-11-27,6.40 (13.3%) 3.90 (21.8%) 1.31 (64.9%),C모스크,바이뮌헨,5승0무5패,9승1무0패,0
7,13-11-27,1.22 (69.7%) 4.40 (19.3%) 7.70 (11%),PSG,올림피아,,,1
8,13-11-27,7.40 (11.5%) 4.50 (18.9%) 1.22 (69.7%),트롬쇠IL,토트넘,,,0
10,13-11-27,1.52 (56%) 3.45 (24.7%) 4.40 (19.3%),SH도네츠,소시에다,,,1
11,13-11-27,1.55 (54.8%) 3.35 (25.4%) 4.30 (19.8%),CH오데사,D자그레,,,1
12,13-11-27,5.00 (17%) 3.55 (23.9%) 1.44 (59%),엘프스보,잘츠부르,,,0
13,13-11-27,3.80 (22.4%) 3.30 (25.8%) 1.64 (51.8%),SH카라간,PAOK,,,0
14,13-11-29,5.60 (15.2%) 3.75 (22.7%) 1.37 (62.1%),엘체,AT마드,4승2무4패,7승2무1패,0
15,13-11-29,6.10 (13.9%) 4.30 (19.7%) 1.28 (66.3%),하트오브,셀틱,,,0
16,13-11-29,1.35 (63%) 3.90 (21.8%) 5.60 (15.2%),묀헨글라,프라이부,7승1무2패,3승4무3패,1
17,13-11-29,1.27 (66.9%) 4.00 (21.3%) 7.20 (11.8%),PSG,리옹,8승2무0패,4승4무2패,1
18,13-11-29,4.70 (18.1%) 3.80 (22.4%) 1.43 (59.5%),마인츠05,도르트문,3승1무6패,6승0무4패,0
19,13-11-29,1.33 (63.8%) 3.65 (23.3%) 6.60 (12.9%),모나코,스타드렌,4승4무2패,3승4무3패,1
20,13-11-29,1.46 (58.3%) 3.40 (25%) 5.10 (16.7%),툴루즈,FC소쇼,5승1무4패,2승3무5패,1
21,13-11-29,3.05 (27.9%) 3.20 (26.6%) 1.87 (45.5%),카타니아,AC밀란,2승3무5패,2승4무4패,0
22,13-11-29,1.44 (59%) 3.50 (24.3%) 5.10 (16.7%),에버턴,스토크,5승3무2패,2승4무4패,1
23,13-11-29,2.34 (36.3%) 3.00 (28.3%) 2.40 (35.4%),울산현대,포항스틸,7승1무2패,5승4무1패,0
25,13-11-29,1.63 (52.1%) 3.20 (26.6%) 4.00 (21.3%),마르세유,몽펠리에,2승1무7패,1승6무3패,1
26,13-11-29,1.83 (46.4%) 3.05 (27.8%) 3.30 (25.7%),로리앙,OGC니스,2승2무6패,4승0무6패,1
27,13-11-29,2.17 (39.1%) 2.95 (28.8%) 2.65 (32%),갱강,낭트,4승3무3패,6승1무3패,1
28,13-11-29,1.90 (44.7%) 3.00 (28.3%) 3.15 (27%),SC바스티,에비앙TG,4승3무3패,3승3무4패,1
29,13-12-03,5.40 (15.8%) 3.70 (23%) 1.39 (61.2%),브로미치,맨체스C,3승5무2패,8승0무2패,0
30,13-12-03,6.40 (13.3%) 4.30 (19.8%) 1.27 (66.9%),에비앙TG,PSG,3승2무5패,8승2무0패,1
31,13-12-03,1.45 (58.6%) 3.35 (25.4%) 5.30 (16%),낭트,발랑시엔,6승1무3패,1승4무5패,1
32,13-12-03,1.49 (57%) 3.45 (24.6%) 4.60 (18.5%),사우샘프,애스턴,5승2무3패,3승4무3패,0
33,13-12-03,5.40 (15.8%) 3.85 (22.1%) 1.37 (62.1%),선덜랜드,첼시,4승1무5패,7승1무2패,0
34,13-12-03,1.99 (42.7%) 3.10 (27.4%) 2.85 (29.8%),상주상무,강원FC,,,1
35,13-12-03,2.14 (39.7%) 3.15 (27%) 2.55 (33.3%),스완지,뉴캐슬,2승4무4패,6승1무3패,1
36,13-12-03,4.60 (18.5%) 3.55 (24%) 1.48 (57.5%),풀럼,토트넘,3승0무7패,5승3무2패,0
